id,course,section,text
COMPSCI 101 (S7W1-2021)_3,COMPSCI 101 (S7W1-2021),week 7,", there will be no daily assignments or in-class quizzes. Instead, you should work on your final group projects. You need to join with other students to form a team with a total of three or four group members. The lab sessions during weeks 6 and 7 will be used for final project review and discussion. Final group projects will include: A role-playing game, the connect-four game with AI strategy, a database, Huffman encoding for file compression, topological sorting of degree requirements, social network analysis, etc. Formative Assessments: Generally, there are small in-class quizzes to test whether you understand the concepts and methods taught in the previous lecture; and a daily assignment to assess your understanding of the new material presented that day. These assignments and quizzes will evaluate your understanding and comprehension on essential elements of Python programming, testing and debugging, object-oriented programming, computational complexity, algorithms, and data structures. The 5 weekly mini-projects will evaluate whether you can think computationally and implement programs to solve useful problems in an efficient and effective way. There will also be 2 in-class paper exams: 1. The first will cover Python programming concepts, scoping, and recursion. 2. The second will cover object-oriented programming, complexity, alogirthms, and data structures. After the first paper exam, I will pair each of you with a partner to facilitate group interaction, communication and learning. Summative assessments: The final group project will be used to evaluate your overall computer science related skills (understanding, application, analysis and presentation). How can I prepare for the class sessions to be successful?  You are expected to complete selected textbook readings before the lecture and lab sessions.  You are required to bring your laptop to class for programming activities.  You need to review each day’s content and work on the daily assignments after every lecture. Academic Resource Center Staff Yunqi Zhu yunqi.zhu@dukekunshan.edu.cn What required texts, materials, and equipment will I need? Required Textbook:  Introduction to Computation and Programming Using Python: With Application to Understanding Data, Second edition, by John V. Guttag, ISBN-13: 978-0262529624 Required free software: IDLE Python, Anaconda, Jupyter Notebook What optional texts or resources might be helpful? Besides the textbook listed above, there is a free online course offered by the author of the textbook and is available at https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-0001- introduction-to-computer-science-and-programming-in-python-fall-2016/ Recommended online resource for python programming include:  Python for everybody, Exploring Data Using Python 3, Charles R. Severance, free open book at https://www.py4e.com/ Recommended chapters for data structures and algorithms with python:  Necaise, Rance - Data Structures and Algorithms Using Python How will my grade be determined? Course grades will be assigned based on a standard 100-pt scale: 97=A+, 93=A, 90=A-, 87=B+, etc. There are about 20 daily assignments, 20 in-class quizzes, 2 in-class paper exams, 5 weekly mini-projects and 1 final project. The course grade will be based on: Daily assignments 20% In-class quizzes 10% Weekly Mini-projects 15% Exams 40% Final project 10% Final project (written / oral) 5% Raw scores may be adjusted upward if the overall class performance does not correctly reflect your understanding or capability, but will not be adjusted downward. What are the course policies? Academic Integrity: As a student, you should abide by the academic honesty standard of the Duke Kunshan University. Its Community Standard states: “Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust.” Academic Policy & Procedures: You are responsible for knowing and adhering to academic policy and procedures as published in University Bulletin and Student Handbook. Please note, an incident of behavioral infraction or academic dishonesty (cheating on a test, plagiarizing, etc.) will result in immediate action from me, in consultation with university administration (e.g., Dean of Undergraduate Studies, Student Conduct, Academic Advising). Please visit the Undergraduate Studies website for additional guidance related to academic policy and procedures. Academic Disruptive Behavior and Community Standard: Please avoid all forms of disruptive behavior, including but not limited to: verbal or physical threats, repeated obscenities, unreasonable interference with class discussion, making/receiving personal phone calls, text messages or pages during class, excessive tardiness, leaving and entering class frequently without notice of illness or other extenuating circumstances, and persisting in disruptive personal conversations with other class members. Please turn off phones, pagers, etc. during class unless instructed otherwise. Laptop computers may be used only for this course related study . If you choose not to adhere to these standards, I will take action in consultation with university administration (e.g., Dean of Undergraduate Studies, Student Conduct, Academic Advising). Academic Accommodations: If you need to request accommodation for a disability, you need a signed accommodation plan from Campus Health Services, and you need to provide a copy of that plan to me. Visit the Office of Student Affairs website for additional information and instruction related to accommodations. You may not share your solutions or code regarding assignments, quizzes, mini-projects with anyone else unless explicitly permitted by the instructor. You need to bring your laptop to the classroom and lab for in- class programming activities. Before the"
COMPSCI 101 (S7W1-2022)_1,COMPSCI 101 (S7W1-2022),Introduction,"COMPSCI 101 Introduction to Computer Science Spring 2022 Dates / time: MTuWeThur 8:30 – 9:45 (lectures), Thur 13:15 – 14:30, 16:15 – 17:30 (labs) Academic credit: 4 Course format: lectures + labs Instructor’s information Name: Feng Tian Title: Professor in Data Science Email: ft47@duke.edu Prof Tian has been an academic in computer science for over 20 years. He has taught a number of courses in universities, including object-oriented programming, games programming, software systems and models, programming for interaction, etc. Prof Tian likes teaching and enjoys interaction with students – please stop by my office hours. Also, worthy to mention that Prof Tian has worked in a company as a software engineer for a few years, an industrial experience that strengthens his teaching ability. What is this course about? Computer science (CS) is an exciting, growing and challenging field that impacts every part of our lives. As an introductory course for computer science, this course will not only provide fundamental knowledge of a variety of CS topics, but it will also provide essential computational problem-solving skills with hands on programming experience. This course is an elective course open to everyone, and no specific prerequisites are needed. Successfully completing this course will serve as a solid foundation for other courses in the computer science or data science majors. It can also bring new concepts and tools to other domains in the social sciences, arts, humanities and natural sciences. What background knowledge do I need before taking this course? No specific prerequisites. What will I learn in this course? Upon successful completion of this course, you should achieve competency in the following areas:  Grasp common computing and programming terms and concepts . Employ common programming patterns and abstractions to solve problems in Python  Develop programming skills on Javascript, HTML and CSS for web development  Formulate problems computationally and solve them through programming What will I do in this course? One of the primary goals of this course is for students to be able to write programs from scratch on their own. Especially for those students who have never programmed before, this goal should not be taken lightly. To achieve this, there will be lectures, labs, quiz, homework, mid-term and final exam, as shown below. Lectures You will have 4 lectures a week with Feng Tian. During the lectures, there will be PowerPoint presentations, mainly on programming principles and algorithms. Each lecture will be recorded and made available as soon as it is ready for those who have trouble with the synchronous lectures. To make your classroom more interactive, there may also be programming activities and Q&A sessions. Hence, you may want to bring your laptops to the lectures. Labs You will have one lab session a week with lab instructor. During the session, you will practice programming on the topics that are covered in the lectures. A short presentation or demonstration of coding might also be given by the instructor. You may seek assistances from the instructor if you encounter difficulties on the practice. Some lab sessions may involve group discussions and collaboration on a task. Homework/Quiz/Projects Homework will be assigned throughout the course. The homework normally has some programming tasks relevant to the contents covered in the lecture. Quizzes will be done during the lecture time. You will work on few small (mini) projects through the session. A final (big) project will be done, likely in group/team. More details about these assessments will be confirmed in due course. Note that though you can collaborate and help each, all assignments (quizzes, mini-projects) will be individually graded, so do NOT simply copy and paste (or only with minor modifications) someone else’s code. All work that you submit must be your own. Collaboration is encouraged but must be disclosed by all parties. Source codes found on the Web, if used, must be clearly attributed with a comment. Such code must not solve the core problem of the assignment. Mid-term The in-class test will be covering questions on what you have learnt during the first half of the session. It will mainly consist of multiple-choice questions, and likely some short questions as well. You will be briefed with details about the content and format prior to the test. If you study remotely, the test will be online. More details will be provided in due course. Final exam The exam will be mainly covering the topics you have learnt during the second half of the session, but it may involve the knowledges and questions from the first half. There will be both theoretical and programming questions. Special arrangements for remote students during COVID-19 Students remotely taking the class are expected to watch lecture videos (PowerPoint presentations) afterwards. Our goal is to maintain an inclusive platform and environment for CS101 students. How can I prepare for the class sessions to be successful?  You are encouraged to actively interact with Feng Tian or lab instructors during the lectures and labs.  Feng Tian or lab instructors will set up office hours, during which you are encouraged to stop them for assistance, before and/or after lectures or labs.  If you demonstrate excellent interaction and active involvement in lectures, lab sessions and peer learning assistance, you will be prioritized to be considered for future peer tutor and/or student teaching/research assistant positions for this and related courses. What required texts, materials, and equipment will I need?  Introduction to Computation and Programming Using Python: With Application to Understanding Data, Second edition, by John V. Guttag, ISBN-13: 978-0262529624 What optional texts or resources might be helpful? Besides the textbook listed above, there is a free online course offered by the author of the textbook and is available at https://ocw.mit.edu/courses/electrical-engineering-and-computer-science/6-0001-introduction-to- computer-science-and-programming-in-python-fall-2016/ Recommended online resource for python programming include:  Python for everybody, Exploring Data Using Python 3, Charles R. Severance, free open book at https://www.py4e.com/  A Byte of Python - free book on programming using the Python language: https://python.swaroopch.com/ How will my grade be determined? The letter grade upgrade described as follows: A+= 98% - 100% A = 97% - 93%; A- = 90% - 92%; B+ = 87% - 89%; B = 83% - 86%; B- = 80% - 82%; C+ = 77% - 79%; C = 73% - 76%; C- = 70% - 72%; D+ = 67% - 69%; D = 63% - 66%; D- = 60% - 62% F = 59% and below. There are about 10 assignments, 10 in-class quizzes, 5 mini-projects, 1 final project, and 2 paper exams. However, some small adjustments may be required during the course. A student’s final grade will be determined from the following weighting: Assignments (homework) 20% Quizzes (in-class) 15% Mini-projects (weekly) 20% Midterm 15% Final project 15% Final exam 15% What are the course policies? Communications: For any questions regarding the course, you are free to send an email to Feng Tian (ft47@dukekunshan.edu.cn). There will be daily office hours from Feng Tian. Student participation in forum discussions will be considered when applying for peer tutor and student worker positions. Due date will be adjusted to the student's time zone location to accommodate students who are remotely taking the course. Discussion Guidelines: Civility is an essential ingredient for academic discourse. All communications for this course should be conducted constructively, civilly, and respectfully. Differences in beliefs, opinions, and approaches are to be expected. Please bring any communications you believe to be in violation of this class policy to the attention of your instructor. Active interaction with peers and your instructor is essential to success in this course, paying particular attention to the following:  Be respectful of others and their opinions, valuing diversity in backgrounds, abilities, and experiences.  Challenging the ideas held by others is an integral aspect of critical thinking and the academic process. Please word your responses carefully, and recognize that others are expected to challenge your ideas. A positive atmosphere of healthy debate is encouraged.  Read your online discussion posts carefully before submitting them. Academic Integrity: As a student, you should abide by the academic honesty standard of the Duke Kunshan University. Its Community Standard states: “Duke Kunshan University is a community comprised of individuals from diverse cultures and backgrounds. We are dedicated to scholarship, leadership, and service and to the principles of honesty, fairness, respect, and accountability. Members of this community commit to reflecting upon and upholding these principles in all academic and non-academic endeavors, and to protecting and promoting a culture of integrity and trust.” For all graded work, students should pledge that they have neither given nor received any unacknowledged aid. Academic Policy & Procedures: You are responsible for knowing and adhering to academic policy and procedures as published in University Bulletin and Student Handbook. Please note, an incident of behavioral infraction or academic dishonesty (cheating on a test, plagiarizing, etc.) will result in immediate action from me, in consultation with university administration (e.g., Dean of Undergraduate Studies, Student Conduct, Academic Advising). Please visit the Undergraduate Studies website for additional guidance related to academic policy and procedures. Academic integrity is everyone’s responsibility. Academic Disruptive Behavior and Community Standard: Please avoid all forms of disruptive behavior, including but not limited to: verbal or physical threats, repeated obscenities, unreasonable interference with class discussion, making/receiving personal phone calls, text messages or pages during class, excessive tardiness, leaving and entering class frequently without notice of illness or other extenuating circumstances, and persisting in disruptive personal conversations with other class members. Please turn off phones, pagers, etc. during class unless instructed otherwise. Laptop computers may be used for class activities allowed by the instructor during synchronous sessions. If you choose not to adhere to these standards, I will take action in consultation with university administration (e.g., Dean of Undergraduate Studies, Student Conduct, Academic Advising). Academic Accommodations: If you need to request accommodation for a disability, you need a signed accommodation plan from Campus Health Services, and you need to provide a copy of that plan to me. Visit the Office of Student Affairs website for additional information and instruction related to accommodations. What campus resources can help me during this course? Academic Advising and Student Support Please consult with me about appropriate course preparation and readiness strategies, as needed. Consult your academic advisors on course performance (i.e., poor grades) and academic decisions (e.g., course changes, incompletes, withdrawals) to ensure you stay on track with degree and graduation requirements. In addition to advisors, staff in the Academic Resource Center can provide recommendations on academic success strategies (e.g., tutoring, coaching, student learning preferences). All ARC services will continue to be provided online. Please visit the Office of Undergraduate Advising website for additional information related to academic advising and student support services. Writing and Language Studio For additional help with academic writing—and more generally with language learning—you are welcome to make an appointment with the Writing and Language Studio (WLS). To accommodate students who are learning remotely as well as those who are on campus, writing and language coaching appointments are available in person and online. You can register for an account, make an appointment, and learn more about WLS services, policies, and events on the WLS website. You can also find writing and language learning resources on the Writing & Language Studio Sakai site. IT Support If you are experiencing technical difficulties, please contact IT:  China-based faculty/staff/students 400-816-7100, (+86) 0512- 3665-7100  US-based faculty/staff/students (+1) 919-660-1810  International-based faculty/staff/students can use either telephone option (recommend using tools like Skype calling)  Live Chat: https://oit.duke.edu/help  Email: service-desk@dukekunshan.edu.cn Teaching schedule (tentative) Week Class topics In-class activities Assignments"
COMPSCI 101 (S7W1-2022)_2,COMPSCI 101 (S7W1-2022),Week 1,"Course introduction Lectures, practice and quiz Assignments Intro to computer and programming languages Python Programming Basics – part one (Jupyter Notebooks, Expression, Variables, Conditionals, Strings, Iterations)"
COMPSCI 101 (S7W1-2022)_3,COMPSCI 101 (S7W1-2022),Week 2,"Python Programming Basics – part two (Functions, Lectures, practice and quiz Assignments Files, Tuples, Lists, Dictionaries) Mini-project #1"
COMPSCI 101 (S7W1-2022)_4,COMPSCI 101 (S7W1-2022),Week 3,"Python Programming Basics – part three Lectures, practice and quiz Assignments (Recursion, Higher-order functions, Debugging and Mini-projects #2 exceptions)"
COMPSCI 101 (S7W1-2022)_5,COMPSCI 101 (S7W1-2022),Week 4,"Midterm Lectures, practice and quiz Mid-term Object-oriented programming"
COMPSCI 101 (S7W1-2022)_6,COMPSCI 101 (S7W1-2022),Week 5,"Algorithms (Search algorithms and plotting, Sort Lectures, practice and quiz Assignments algorithms) Mini-projects #3 Binary Tree, Graph"
COMPSCI 101 (S7W1-2022)_7,COMPSCI 101 (S7W1-2022),Week 6,"Web technology (HTML, CSS, Javascript) Lectures, practice and quiz Assignments Database technology (SQL, Normalization) Mini-projects #4"
COMPSCI 101 (S7W1-2022)_8,COMPSCI 101 (S7W1-2022),Week 7,"Revision for final exam Lectures, practice Final project"
COMPSCI 201 (F7W1-2019)_1,COMPSCI 201 (F7W1-2019),Introduction,"6/3/2021 COMPSCI.201.001L.F19 Send To Printer | Close Window Syllabus COMPSCI 201 Introduction to Programming and Data Structures Fall 2019 First Undergraduate Session Dates / course meeting time: 2019-08-26 to 2019-10-17 MW 12pm-2:30pm Th 11:45am-1pm Academic credit: 4 units Course format: mixed lecture + lab Instructor’s information Dr. Dennis Quan Executive in Residence, Duke University dquan@cs.duke.edu Office hours posted on Sakai 21 years of experience in Enterprise IT. Previously ran 400+ engineer organizations spanning 4 continents as an Engineering Vice President at IBM before becoming an entrepreneur in the digital health space. Personally written close to half a million lines of code. Ph.D. Computer Science from MIT. What is this course about? To be successful as a computer scientist, certain practical and theoretical skills are needed. In particular, computer scientists need to be proficient at programming. This course is designed to lay this needed foundation, providing students with a mix of hands-on familiarity with writing real programs and mathematical theory for how to write efficient programs. What background knowledge do I need before taking this course? No specific prerequisites, other than general familiarity with computers and knowledge of basic high school mathematics (algebra/pre-calculus). What will I learn in this course? Upon completion, students should achieve competency in the following areas: https://sakai.duke.edu/portal/tool/a7d7b04e-bed9-4c4e-a7e0-1af2caa5a062/printFriendly 1/4 6/3/2021 COMPSCI.201.001L.F19 Use standard Java libraries to design, develop, and test basic Java programs based on a written specification. Efficiently choose and apply standard data structures including arrays, linked lists, maps, stacks, queues, trees, and graphs. Evaluate the time and space complexity of iterative- and recursively-defined algorithms. What will I do in this course? One of the primary goals of this course is for students to be able to write Java programs, from scratch, on their own. Especially for those students who have never programmed before, this goal should not be taken lightly. To achieve this, there will be three kinds of graded coding assignments given during the semester. Expect to spend a significant amount of time every week on assignments. Note that the amount of credit received for different assignments will vary throughout the course, but, in general, assignments given later in the course will tend to be worth more credit. This is because a meta-goal of this course is to see students demonstrate improvement in their skills as they progress through the course. A different collaboration policy applies for each kind of assignment. Not abiding by the collaboration policy in effect for a given assignment may result in disciplinary action. Individual Labs Certain days will have lab time allotted for students to write small programs on an individual basis. Students may brainstorm with each other and help debug each other’s code, but all submitted code must be written by individual students, and a student’s submitted code may not include code copied from other sources, including other students, websites, etc. Code for these lab assignments will be due at 11:59pm the same day. No credit will be given for labs that are missed; those missed due to an officially-excused absence will be dropped from the final grade calculation. Labs will be given one of four grades: Excellent, Mostly Right, Needs Improvement, or No Credit. Group Labs Some lab assignments will be performed in small groups rather than individually. There will only be one code submission per group, and it is expected that group members help each other to complete the assignment. As with individual labs, code will be due at 11:59pm the same day, and the same late policy and grade structure applies. Individual Homework Homework assignments will be assigned throughout the course. An assignment will earn 80% of the credit it would otherwise have earned if it is turned in late, up to 48 hours after the posted"
COMPSCI 201 (S7W1-2021)_1,COMPSCI 201 (S7W1-2021),Introduction,"CompSci 201 Introduction to Programming and Data Structures Spring 2021 Dates / Synchronous meeting time: MTuWTh 1:15-2:30pm Academic credit: 4 Online course format: Lecture Instructor’s information Jiang Long Senior Lecturer in Computer Science, DNAS, DKU Associate Professor of the Practice, Global Studies, Duke Email: jiang.long@dukekunshan.edu.cn Personal Zoom Meeting ID: 946 772 8925 Dr. Jiang Long is an industry veteran after spending twenty years in the software and hardware design sector. Jiang has held engineering positions in Synopsys Inc, Mentor Graphics Corp., and most recently at Apple Inc. Jiang majored in Computer Science in undergrad and graduate programs at Jilin University, Tsinghua University and University of Texas at Austin. Jiang obtained his PhD degree in EECS at University of California at Berkeley. Dr. Long’s past research interest ranges from formal methods, logic synthesis and formal verification of digital systems in hardware and software. Jiang joined DKU as a DNAS faculty member in Computer Science and will be teaching CompSci 201 and CompSci 301 starting Fall 2020. Xue Chen Lab Instructor, Duke Kunshan University Email: xue.chen240@dukekunshan.edu.cn Xue received her Bachelor’s degree in Statistics from University of Waterloo, and Master’s degree in Data Science from Monash University. She joined DKU as Lab Instructor and currently working on CS201 and CS301 teaching team. Course website: http://repolab.colab.duke.edu/courses/cs201/ What is this course about? This course is an introduction to computer programming for students with a general interest or aspiring in data science and/or computer science majors. The goal of the course is to teach basic principles and practical issues, in an interdisciplinary approach, to introduce the fundamental principles, practices and questions in computer science, programming, and engineering, leading to effective applications in computer science, physics, biology, chemistry, engineering, and other disciplines. Upon successful completion of the course, the students are expected to gain enough background, knowledge and experience to feel comfortable to learn, speak, read and write, think and communicate in computer programming language, basic data-structures and founding principles and methodologies in computer science. Students are expected to be able to apply programming and computer skills in continuing computer science and vast interdisciplinary studies. What background knowledge do I need before taking this course? There is no prerequisite of this course. What will I learn in this course? The course is divided in the following modules:  Java programming language, syntax and semantics, data-types, control structures, input/outputs, abstract data types, functions and libraries and design principles  Data structures for search, sorting, stack, queue, list and graph algorithms/manipulations,  Fundamental questions and models in computer science, finite automata, regular expression, Turing machines, and intractability  Machine structure and assembly programming in TOY  Fundamental concepts in Boolean logic and circuit design What will I do in this course? Traditionally, entry level computer programming emphasize effort in critical thinking and problem- solving skills, which is still going to be the core objective. The primary goals of this course are for students to be able to learn, speak, read and write Java programs and be able to extend that expertise to interdisciplinary application domains and be able to learn other programming languages on their own. Each week, in addition to lectures, recitations and labs, students are required to complete the programming assignments, pre and post class questionnaires for each lecture, and a BirdKan 531 weekly group exercise listed and explained below. In this session, we will incorporate lab-sessions on Thursdays (starting the second week) to be led by student TAs to present supplement materials for the core concepts of the lecture and for preparation of homework questions. Java Programming Assignments (JPA) Following each lecture on Monday, Tuesday, and Wednesday, there will be homework assignments. Monday and Tuesday’s homework is due on Friday midnight and Wednesday’s homework is due on Saturday midnight. Remote online students get an automatic 24-hour extension over DKU local time. No late submissions are to be accepted. Programming assignments are to be graded with SAG (Staged Auto Grading), an auto-grading system developed by a group of DKU students during the summer of 2020. There are potentially weekend programming assignments to be announced as class progresses. Pre-class and post-class work and questionnaire Starting"
